# Elements:
C	C(13)	H	H+	N	O	O(18)	S
	C					O	
12	13.003355	1.007825	1.007276	14.003074	15.994915	17.99916	31.97207

# Masses:
C	C(13)	H	H+	N	O	O(18)	S	Mass	Name
7	0	19	1	1	2	0	0	150.148855	C7H19NO2 H+ 
10	0	14	1	0	1	0	0	151.111741	C10H14O H+ 
6	0	17	1	1	3	0	0	152.12812	C6H17NO3 H+ 
7	0	4	1	0	4	0	0	153.018236	C7H4O4 H+ 
8	0	8	1	0	3	0	0	153.054621	C8H8O3 H+ 
9	0	12	1	0	2	0	0	153.091006	C9H12O2 H+ 
10	0	16	1	0	1	0	0	153.127391	C10H16O H+ 
10	0	3	1	1	1	0	0	154.02874	C10H3NO H+ 
7	0	7	1	1	3	0	0	154.04987	C7H7NO3 H+ 
11	0	7	1	1	0	0	0	154.065125	C11H7N H+ 
8	0	11	1	1	2	0	0	154.086255	C8H11NO2 H+ 
9	0	15	1	1	1	0	0	154.12264	C9H15NO H+ 
10	0	19	1	1	0	0	0	154.159025	C10H19N H+ 
7	0	6	1	0	4	0	0	155.033886	C7H6O4 H+ 
8	0	10	1	0	3	0	0	155.070271	C8H10O3 H+ 
9	0	14	1	0	2	0	0	155.106656	C9H14O2 H+ 
10	0	18	1	0	1	0	0	155.143041	C10H18O H+ 
11	0	22	1	0	0	0	0	155.179426	C11H22 H+ 
0	0	0	0	0	0	0	0	156.0214233	 
6	0	5	1	1	4	0	0	156.029135	C6H5NO4 H+ 
7	0	9	1	1	3	0	0	156.06552	C7H9NO3 H+ 
11	0	9	1	1	0	0	0	156.080775	C11H9N H+ 
8	0	13	1	1	2	0	0	156.101905	C8H13NO2 H+ 
9	0	17	1	1	1	0	0	156.13829	C9H17NO H+ 
10	0	21	1	1	0	0	0	156.174675	C10H21N H+ 
7	0	8	1	0	4	0	0	157.049536	C7H8O4 H+ 
8	0	12	1	0	3	0	0	157.085921	C8H12O3 H+ 
9	0	16	1	0	2	0	0	157.122306	C9H16O2 H+ 
10	0	20	1	0	1	0	0	157.158691	C10H20O H+ 
0	0	0	0	0	0	0	0	158.0284424	 
6	0	7	1	1	4	0	0	158.044785	C6H7NO4 H+ 
7	0	11	1	1	3	0	0	158.08117	C7H11NO3 H+ 
11	0	11	1	1	0	0	0	158.096425	C11H11N H+ 
8	0	15	1	1	2	0	0	158.117555	C8H15NO2 H+ 
9	0	19	1	1	1	0	0	158.15394	C9H19NO H+ 
6	0	6	1	0	5	0	0	159.028801	C6H6O5 H+ 
7	0	10	1	0	4	0	0	159.065186	C7H10O4 H+ 
8	0	14	1	0	3	0	0	159.101571	C8H14O3 H+ 
